truth,pred,time
7,7,614123.0
7,7,614132.0
7,7,614105.0
4,4,614166.0
3,3,614158.0
3,1,614172.0
1,5,614183.0
4,4,614152.0
7,7,614154.0
0,0,614214.0
0,0,614215.0
6,6,614212.0
4,4,614177.0
2,2,614223.0
0,0,614237.0
2,2,614232.0
4,4,614231.0
6,6,614233.0
3,3,614232.0
5,6,614193.0
2,2,614195.0
3,3,614222.0
5,6,614241.0
5,5,614303.0
3,3,614244.0
6,6,614255.0
7,7,614248.0
5,5,614280.0
3,3,614255.0
0,3,614254.0
3,1,614300.0
5,5,614259.0
1,1,614256.0
5,5,614259.0
0,0,614258.0
7,7,614261.0
0,0,614259.0
1,1,614289.0
5,5,614273.0
3,3,614263.0
1,6,614315.0
6,6,614268.0
1,1,614319.0
7,7,614270.0
6,6,614276.0
2,2,614261.0
2,2,614264.0
7,7,614265.0
1,1,614262.0
2,2,614268.0
5,5,614274.0
6,6,614261.0
1,1,614268.0
2,2,614268.0
4,4,614283.0
0,0,614267.0
3,1,614264.0
2,2,614261.0
4,4,614289.0
6,6,614285.0
3,3,614274.0
1,1,614265.0
1,1,614273.0
5,5,614280.0
5,5,614251.0
4,4,614268.0
4,4,614266.0
4,4,614282.0
3,3,614265.0
1,1,614286.0
7,7,614274.0
7,7,614283.0
2,2,614270.0
2,6,614271.0
2,5,614268.0
4,4,614266.0
6,6,614268.0
0,0,614267.0
1,6,614269.0
4,4,614299.0
3,3,614282.0
7,7,614267.0
0,0,614294.0
2,2,614269.0
2,2,614275.0
2,2,614282.0
7,3,614269.0
1,1,614273.0
0,0,614275.0
0,0,614269.0
7,5,614284.0
4,4,614271.0
0,0,614321.0
1,1,614271.0
1,1,614268.0
5,5,614268.0
7,7,614267.0
5,5,614326.0
4,4,614270.0
4,4,614268.0
6,6,614284.0
6,6,614283.0
5,5,614272.0
2,4,614277.0
7,7,614246.0
6,6,614287.0
1,1,614255.0
5,5,614227.0
0,0,614263.0
1,1,614268.0
5,5,614279.0
1,1,614270.0
4,4,614270.0
7,7,614275.0
3,0,614275.0
6,6,614275.0
0,0,614273.0
2,2,614271.0
6,6,614260.0
7,7,614268.0
0,0,614279.0
0,0,614278.0
2,2,614272.0
5,5,614270.0
5,5,614248.0
7,7,614241.0
1,1,614245.0
2,2,614274.0
5,5,614247.0
2,2,614256.0
2,2,614246.0
0,0,614274.0
5,5,614263.0
2,2,614273.0
4,4,614269.0
3,3,614277.0
0,0,614247.0
6,6,614276.0
2,3,614275.0
6,6,614272.0
0,0,614287.0
0,0,614281.0
2,2,614272.0
2,2,614274.0
3,3,614270.0
0,0,614247.0
3,1,614250.0
3,3,614249.0
3,2,614232.0
1,1,614277.0
5,5,614258.0
3,3,614241.0
7,7,614273.0
7,7,614275.0
0,0,614278.0
3,3,614276.0
3,3,614308.0
1,1,614279.0
7,7,614276.0
3,3,614287.0
3,3,614259.0
2,2,614290.0
3,3,614286.0
0,0,614292.0
7,7,614290.0
1,1,614277.0
6,6,614278.0
2,4,614286.0
4,4,614275.0
3,3,614256.0
3,3,614233.0
5,5,614247.0
4,4,614278.0
6,6,614284.0
7,1,614247.0
2,2,614290.0
1,3,614284.0
0,0,614261.0
7,7,614280.0
0,0,614274.0
2,2,614288.0
2,2,614280.0
3,1,614276.0
1,1,614276.0
4,4,614277.0
7,7,614275.0
0,0,614315.0
5,5,614285.0
4,4,614303.0
1,1,614300.0
5,5,614274.0
3,3,614282.0
4,4,614290.0
5,5,614277.0
5,5,614277.0
7,7,614274.0
4,4,614280.0
5,5,614276.0
3,3,614316.0
3,1,614320.0
2,2,614285.0
3,3,614292.0
2,2,614297.0
7,7,614289.0
0,0,614278.0
0,0,614277.0
0,0,614283.0
3,3,614280.0
7,7,614278.0
5,5,614281.0
1,1,614279.0
3,3,614283.0
1,1,614264.0
6,0,614253.0
1,1,614282.0
5,5,614281.0
4,4,614296.0
5,5,614278.0
7,7,614280.0
2,2,614277.0
4,4,614280.0
0,0,614315.0
3,3,614257.0
0,0,614292.0
5,5,614284.0
3,3,614293.0
1,1,614287.0
7,7,614282.0
5,5,614278.0
5,7,614273.0
7,7,614280.0
