truth,pred,time
7,7,215777.0
7,2,215768.0
7,7,215726.0
4,4,215772.0
3,2,215724.0
3,1,215725.0
1,0,215768.0
4,4,215772.0
7,7,215730.0
0,0,215753.0
0,0,215729.0
6,6,215769.0
4,4,215719.0
2,2,215770.0
0,7,215766.0
2,2,215721.0
4,4,215721.0
6,6,215749.0
3,3,215722.0
5,1,215724.0
2,2,215768.0
3,3,215724.0
5,2,215766.0
5,5,215722.0
3,3,215749.0
6,6,215725.0
7,7,215767.0
5,5,215740.0
3,3,215717.0
0,3,215735.0
3,6,215744.0
5,5,215715.0
1,1,215761.0
5,5,215715.0
0,0,215714.0
7,7,215711.0
0,0,215756.0
1,1,215709.0
5,5,215764.0
3,3,215706.0
1,6,215750.0
6,6,215702.0
1,1,215749.0
7,7,215753.0
6,6,215697.0
2,2,215718.0
2,2,215737.0
7,7,215693.0
1,1,215735.0
2,2,215690.0
5,5,215728.0
6,6,215720.0
1,1,215676.0
2,2,215669.0
4,4,215708.0
0,0,215666.0
3,1,215662.0
2,2,215659.0
4,4,215656.0
6,6,215697.0
3,3,215648.0
1,1,215644.0
1,1,215647.0
5,5,215633.0
5,5,215630.0
4,4,215667.0
4,4,215663.0
4,4,215659.0
3,0,215608.0
1,1,215606.0
7,7,215608.0
7,7,215604.0
2,2,215640.0
2,5,215648.0
2,5,215597.0
4,4,215641.0
6,6,215590.0
0,0,215593.0
1,4,215598.0
4,4,215645.0
3,3,215593.0
7,7,215595.0
0,0,215599.0
2,2,215640.0
2,2,215591.0
2,2,215644.0
7,0,215601.0
1,1,215646.0
0,0,215603.0
0,0,215602.0
7,7,215597.0
4,4,215599.0
0,0,215643.0
1,0,215602.0
1,1,215599.0
5,5,215642.0
7,7,215605.0
5,5,215598.0
4,4,215638.0
4,4,215593.0
6,6,215639.0
6,6,215599.0
5,5,215645.0
2,6,215605.0
7,7,215608.0
6,6,215611.0
1,1,215657.0
5,5,215658.0
0,4,215664.0
1,1,215617.0
5,5,215624.0
1,1,215621.0
4,4,215667.0
7,7,215626.0
3,0,215628.0
6,6,215633.0
0,0,215634.0
2,2,215676.0
6,6,215680.0
7,7,215693.0
0,0,215686.0
0,1,215686.0
2,2,215689.0
5,5,215647.0
5,5,215647.0
7,7,215647.0
1,1,215667.0
2,2,215696.0
5,5,215655.0
2,2,215648.0
2,4,215708.0
0,0,215662.0
5,5,215660.0
2,2,215710.0
4,4,215667.0
3,3,215713.0
0,0,215671.0
6,6,215672.0
2,3,215677.0
6,6,215679.0
0,0,215682.0
0,0,215722.0
2,2,215729.0
2,4,215730.0
3,3,215737.0
0,0,215737.0
3,3,215691.0
3,3,215697.0
3,2,215695.0
1,1,215698.0
5,6,215702.0
3,3,215704.0
7,7,215705.0
7,7,215708.0
0,0,215737.0
3,3,215756.0
3,3,215759.0
1,1,215720.0
7,7,215718.0
3,1,215712.0
3,3,215760.0
2,2,215719.0
3,3,215758.0
0,0,215722.0
7,7,215715.0
1,1,215765.0
6,6,215767.0
2,2,215768.0
4,4,215766.0
3,3,215729.0
3,1,215715.0
5,5,215719.0
4,4,215715.0
6,6,215769.0
7,5,215774.0
